,review,sentiment
41883,"PLEASE people! DO NOT bother with this poorly directed joke. The direction was totally wrong from the outset. Where is the history of his mothers' emotional interference and the general madness in the original family? Why is ED portrayed as this large, overbearing imposing figure full of anger and hate? What IS this crap? The writer and director obviously did no research into the history and just wanted to cash in on the infamous Gein name. The fools who made this movie took so many liberties with the truth, it's ridiculous. If you want t see a brilliant Gein film. go back to the minor classic ""Deranged"" to see how Ed really was. There is humor in that film, and Ed is portrayed as more of the sad, lonely slight man he was, according-to HISTORY. Where is the background story here? There is just poorly set-up shocks (that are not shocking) that we've seen before, and more accomplished as well. Take the worst Texas Chainsaw massacre ripoff, and add this one to that list. Had to give it ONE out of ten because rating wouldn't accept ZERO. I want my money BACK. If anyone regards this film as 'stunning' is possibly getting a financial kickback to do so.",negative
33129,"After watching this thing, then reading the summary on the back of the DVD, then thinking back to actual movie....I became a bit dizzy. I thought, maybe I fell asleep and dreamed I was a down syndrome baby waltzing through a never ending forest where people drive 11 miles an hour and stop for no purpose other then occasional tasteless lesbianism. Where (zombies?) come out of nowhere and (vampires?) who (seduce?) pure hearted citizens on their way to save the world. Neither zombie nor vampire notably encounter each other. The only fighting i remember was getting that walrus Bonny Giroux's panties off. Coo Coo ca FAT! All of them! Maybe that was because we were watching it widescreen stretched and were too lazy to change it to its native resolution, but that actually made it more entertaining... In conclusion my trailing thought thesis had more continuity, plot, character development, antagonism, subject matter, and acting then the entirety of this film. It made Bloodrayne look like Citizen F***ING KANE",negative
28720,"This is a baffling film. <br /><br />The beauty in sexual relations between men and women is shown degraded by a set of men and women who can only be described as a collection of oddballs and misfits.<br /><br />Greenaway acknowledges his inspiration to Fellini's film ""8 1/2"" but whereas Fellini is a titan of world cinema, Greenaway is not.<br /><br />He has none of the maestro's lightness of touch nor his ability to convey feelings and emotions with a deftness of clarity.<br /><br />He is pretentious, the film being divided into chapters with a written introduction to each, as if the viewer has to be guided into the film except that the written notices only stay on screen for a few seconds, not long enough to be read by the audience with the result that they are mostly ignored.<br /><br />As for the women, only two can be described as lookers, Palmira, played by Polly Walker and Giaconda played by Natacha Amal. The rest ooze with ordinariness. Both the women and the men retreat from the harsh light of reality into the dim shades of fantasy.<br /><br />Greenaway obviously wants to make the point that sexual fantasy does not lead to happiness. The women themselves are depressing since they render their services in exchange for money. Relations between men and women are debased into a commercial transaction.<br /><br />There is no sense of joy or happiness or love in the film, indeed there are several scenes that are deeply unpleasant :<br /><br />The suggestion of an incestuous relationship between father and son, Philip and Storey Emmental played respectively by John Standing and Matthew Delamere. The callous disregard of both men that Giaconda is carrying their child, she in fact, gets pregnant twice, the first foetus being aborted and the second time, she is sent away to a destination chosen by the men from a flight book. Both men having sex with a woman who has no legs, (the half woman in the title). The beastiality that exists between Beryl, played by Amanda Plummer, with a pig named Hortense. Father and son sharing women between them. Women enjoying being beaten sexually. The father sleeping with the corpse of his dead wife.<br /><br />Mercifully, none of these scenes are shown sexually, only hinted at.<br /><br />The hinted degradation of women is such that there cannot be any wonder that the film was booed at when it was first premiered at Cannes. What is more extraordinary is that the actresses in the film lined up to defend it, showing yet again that there is no limit to the naivety of women and that women will fool themselves into being exploited by men.<br /><br />Greenaway's directorial style is pretentious, it is a triumph of style over substance, a depiction of Film as Art accompanied by the abandonment of common sense.<br /><br />Greenaway tries to attain the sublimity of surrealism but only succeeds in showing the banality of human relationships.",negative
36859,"What bird is that ? A maltese falcon. The only thing remotely funny about this movie is Michael Caines hair. Which has more depth and character than the man underneath it.<br /><br />The Malta settings are as dry and as barren as the dialogue. Salutes to Raymond Chandler and Humphrey Bogart and crime fiction etc... seem obtuse and just plain silly without the salvation of any humour or pertinency. The reason this film has no 'longevity' and near forgotten is it's so vacuous, an hour and half of pointless time spent in the company of second rate actors and film makers - This film is what the title suggests...",negative
27974,"honestly, i don't know what's funnier, this horrific remake, or the comments on this board. Masterpiece's review had me in tears, that's so funny. Anyway, this movie is the among the worst movies ever, and certainly the bottom of the barrel for sequels. The ""Omen"" name on the title made me stop and watch it this morning on HBO, but it's a slap in the face to the other three, especially the original. There are so many classically bad moments, but my favorite is the guy catching fire from the juggler at the psychic fair!! good times ! This movie is to the Omen series what ""Scary Movie"" is to the entire genre. Avoid unless you're looking for a good laugh.",negative
35918,"Banned as a 'Video Nasty' in the UK, Unhinged has naturally gained quite a bit of notoriety. However, the most shocking thing I found about the film was its amateurishness in all departments. The bloodletting I could handle: the terrible acting, shoddy editing, awful direction, lousy script and abysmal soundtrack were much harder to take.<br /><br />Three girls on their way to a music festival crash into a ravine during a storm. They are rescued by a friendly stranger who takes them to a nearby house. The owner of the house, a batty old lady, and her spinster daughter, welcome the girls in, allowing them to stay for a few days in order to recuperate. However, someone doesn't want the girls to leaveever! One by one they fall victim to an unseen assailant.<br /><br />Taking a long time to get going and featuring some of the worst performances ever in a horror film (and that takes some doing), Unhinged is a truly awful film. The music is a total mess (it sounds like a three year old has been let loose on a synthesiser) and as such, it complements the movie perfectly. Only a couple of bloody scenes towards the end and a bit of gratuitous nudity save Unhinged from getting the lowest possible score.<br /><br />If you are a horror completist (and unfortunately, I am), you will want to see this in order to tick it off the Video Nasty watch-list. But be warnedit is really, really bad.",negative
4370,"Comedy? What's so funny about watching an ugly deadbeat alcoholic attending 6 sessions (by the time I turned it off) of alchoholics anonymous? Set off by a woeful script of grunts and mumbles and drunken slurrings. Served up with lashings of Hollywood's religious ""God will Save you"" redemption drivel Another Reviewer mentioned the ""Sassy dialogue"" of Tea Leone - well I managed to watch nearly an hour of this boring film and I still haven't seen any sassy yet - in fact my 80 year old grandmother has more amusing comebacks than Tea's character in this rubbish. Tea is more stony faced and shows less emotion than Keanu - in fact one wonders if she too isn't addicted to something - maybe botox her face is so wooden? Save yourself from being killed with boredom from this film.",negative
41304,"<br /><br />""step aside for hollywood veterans?"" (the wayan brothers were 'asked') thats what hollyweird demanded and thats what it got. However, like so many of its recent decisions this one was a stupendous mistake.<br /><br />The director is SO out of touch with todays audience, attempting to bring back physical pratfalls and gags in place of funny dialogue is just a DISASTER. I knew it, the audience knew it and the CAST knew it.<br /><br />What a shame, why did they EVER consider changing directors? Not only that but the two Wayan brothers played as two of four primary characters, without them its just a farce and a sad one.<br /><br />SP<br /><br />",negative
13975,"The story was disjointed, the acting was not of any callibre you can catagorise. More of a serial pilot than an actual movie. I wanted to like this movie but just could not find anything to like about it. Whatever it was that made The Lost boys so likable was obviously absent here. Altho it tried hard. Plot hooks were clumsily placed amidst what could have been an episode of dawsons creek with dark clothes, and the story arc was going nowhere soon. Very disappointing for me. The end scenes were special effects driven convenience and how the villain of the story planned his whole scheme.. who was he (or she) trying to kid, talk about naive. Stick with films of this kind of genre from the eighties, when they had more of an idea.",negative
48428,"The biggest and most disconcerting things of the Raptor movie was ending for the Tyransaurus is identical to Carnosaur except kid in the loader was a bit better acted and action then the adult. The similarities to the Carnosaur movies was rather poor choice in plot line. The only thing that approached good was the beginning with the kids in the jeep. Then the plot went down hill from there. Would have been nice if a different plot had been devised, rather then cloning the earlier movies. The raptor movie should have taken lesson from Jurasic park series in various plots. The only movie that has come close to a good dinosaur movie most recently is Aztec Rex. The repeated scenes as if taken from the Carnosaur movies leaves a person thinking of those movies.",negative
