,review,sentiment
14309,"In all this dogma fuzz, please note that this is the Danish masterpiece of the 20th century. The humour, the fate, the sorrow is so clean - so simple - so touching.<br /><br />This movie is a masterpiece. Go see it. There's nothing more to say.",positive
41988,"***SPOILERS*** When undercover Brooklyn North Det. Eddie Santos, Nestor Serrano,was to meet his drug supplier Tito Zapatti, Larry Romano, in the Williamsburg section of Brooklyn in a buy and bust operation, with Tito being the one who gets busted, that things went haywire with both Det. Santos and Tito ending up getting shot and killed by each other. During the deadly shootout an innocent bystander six year-old James Bone Jr.,Jaliyl Lynn,was also killed in the cross-fire.<br /><br />With New York City slated to host the 1996 Democratic Presidential Convention that summer that last thing that the city's flamboyant Mayor Pappas, Al Pacino, wanted was a possible riot over young James Bones tragic death by a possible, in was later determined that it was a bullet from Tito's gun that killed young James, member of the New York City Police Department.<br /><br />What was far more shocking then even Bone's death is that his killer Tito Zapatti was given probation by the well respected NY State Judge Walter Stern, Martin Landau. When he should have been put behind bars for 10 to 20 years by being arrested with a kilo of cocaine in the backseat of his car! It soon became evident that the person who got Judge Stern his job, for a $50,000.00 payoff, was non other the Brooklyn political boss Frank Anselmo, Danny Aiello. It's Anselmo who's involved with Mayor Pappas in a land deal, involving the New York Subway System, that would bring him and his real estate friends tens of millions of dollars over the next two years! It would also indirectly connect Mayor Pappas in the Bone killing by connecting him to Judge Stern, who made it possible for Tito be be free, who's a mutual friend of both him and his Gomba, or Landsman, Frank Anselmo!<br /><br />To keep all this from blowing up the late Det. Santons is framed, by working undercover without the authority from his superiors, in the Bone shooting. In fact those framing Santos go as far and hiding some $40,000.00 in cash in his upstate summer home making it look like he was being paid off by Tito's uncle Mafia boss Paul Zapatti, Anthony Francoisa, for letting his nephew deal drugs with him getting a piece of the action. Which may well explain him, as well as Tito, getting shot by Tito welshing on his paying Santos off!<br /><br />As things turn out it's Mayor Pappas' deputy in City Hall Kevin Calhoun, John Cusack, who ends up messing everything up for his boss by being too honest in finding who was responsible in covering up Tito's criminal record that allowed him to be out on the streets. The facts that Kevin uncovered lead straight to Frank Anselmo, a major political supporter of Mayor Pappas, who as it turned out was connected by the hip to Tito's Mafia chieftain Uncle Paul!<br /><br />A bit over-plotted ""City Hall"" does show how big city corruption can filter up, as well as down, to everyone in city government without them, like Mayor Pappas, even knowing about it. Mayor Pappas biggest sin was that he was friends with Brooklyn Boss Anselmo who was putting people into jobs, like Judge Stern, who were subjected to being blackmailed from Anselmo's real boss Mafioso Paul Zapatti.<br /><br />***SPOILERS*** It only took a deadly shootout in Williamsburg to set everything into motion not by only Tito, besides Det. Santos and James Bone, being killed but why he was allowed to be out on the street in order to bring the very popular New York City Mayor down. Mayor Pappas was looking forward to much bigger things, like Governor or even President, in his future political pursuits. As it turned out his top deputy Kevin Calhoun in not looking the other way was responsible for his demise. As well as that of the Mayor's good friend Frank Anselmo and the person whom he helped put on the bench, as a state judge, Judge Stern. Who's decision in letting Tito Zapatti off made this whole disaster, which resulted in at least a half dozen murders and one suicide, possible!",positive
42991,"This ensemble piece about adults who return to the formulative Summer camp of their youth was a very quiet entrant and exiter to the cinemas in the Autumn of 1993. I'd say that was a shame,but then again,some of the better movies ARE quiet releases that don't get much hype or praise.<br /><br />Diane LAne,Kevin Pollack,Elizabeth Perkins,Vincent Spano,Julie Warner,Bill Paxton,Kimberly Williams,Matt Craven and Alan Arkin(who is painfully good here) are the group of actors who flesh out these roles as people who have grown old with good,bad and funny memories of summers gone past. This film covers the gambit of emotions,mostly pleasant,and the film never hammers away at the viewer to feel what the characters are feeling,preferring to allow the viewer to enter into the memories on their own. Since I am a movie viewer who bristles at bluntly,brazen manipulation in films,this is something that I appreciate from writer/director Mike Binder.<br /><br />This film's a great cheap rent,a good main rent and even a pretty sit in a theater flick. You might run across this on TV,and I would definitely suggest a look-see.",positive
1817,"In many ways, the filmic career of independent film-making legend John Cassavetes is the polar opposite of someone like Alfred Hitchcock, the consummate studio director. Where Hitchcock infamously treated his actors as cattle, Cassavetes sought to work with them improvisationally. Where every element in a Hitchcock shot is composed immaculately, Cassavetes cared less for the way a scene was figuratively composed than in how it felt, or what it conveyed, emotionally. Hitchcock's tales were always plot-first narratives, with the human element put in the background. Cassavetes put the human experience forefront in every one of his films. If some things did not make much sense logically, so be it.<br /><br />One can see this even from his very first film, 1959's Shadows, filmed with a 16mm hand-held camera, on a shoe string budget of about $40,000, in Manhattan, with Cassavetes' acting workshop repertory company, and touted as an improvisatory film. The story is rather simple, as it follows the lives of three black sibling Manhattanites- Benny (Ben Carruthers)- a trumpeter and no account, Hugh (Hugh Hurd)- a washed up singer, and Lelia (Lelia Goldoni)- the younger sister of both. The film's three main arcs deal with Hugh's failures as a nightclub crooner, and his friendship with his manager Rupert (Rupert Crosse); Benny's perambulations in an about Manhattan with his two no account pals; and Lelia's lovelife- first with a white boy Tony (Anthony Ray), who does not realize light-skinned Lelia's race, even after bedding her; then with stiff and proper Davey (Davey Jones), who may be a misogynist.<br /><br />In the first arc, nothing much happens, except dark-skinned Hugh gets to pontificate on how degraded he feels to be singing in low class nightclubs, and opening shows for girly acts. He dreams of making it big in New York, or even Paris, but one can tell he is the type of man who will continue deluding himself of his meager skill, for the one time we actually get to hear him sing, he shows he's a marginal talent, at best. That Rupert keeps encouraging him gives us glimpses into how destructive friendships work. But, this is the least important of the three arcs. While this film is better overall than, say, Martin Scorsese's first film, a decade later, Who's That Knocking At My Door?- another tale of failed romance and frustrated New Yorkers, it has none of the brilliant moments- acting-wise nor cinematographically- that that film has. It also is not naturalistic, for naturalism in art is a very difficult thing to achieve, especially in film, although the 1950s era Manhattan exteriors, at ground level, is a gem to relive. While Shadows may, indeed, be an important film in regards to the history of the independent film circuit, it certainly is nowhere near a great film. Parts of it are preachy, poorly acted, scenes end willy-nilly, almost like blackout sketches, and sometimes are cut off seemingly in the middle. All in all it's a very sloppy job- especially the atrocious jazz score that is often out of synch with the rest of the film, as Cassavetes proved that as a director, at least in his first film, he was a good actor. The only reason for anyone to see Shadows is because Cassavetes ultimately got better with later films, and this gives a clue as to his later working style.<br /><br />The National Film Registry has rightly declared this film worthy of preservation as 'culturally significant'. This is all in keeping with the credo of art Cassavetes long championed, as typified by this quote: 'I've never seen an exploding helicopter. I've never seen anybody go and blow somebody's head off. So why should I make films about them? But I have seen people destroy themselves in the smallest way. I've seen people withdraw. I've seen people hide behind political ideas, behind dope, behind the sexual revolution, behind fascism, behind hypocrisy, and I've myself done all these things. So I can understand them. What we are saying is so gentle. It's gentleness. We have problems, terrible problems, but our problems are human problems.' That this film is 'culturally significant' is true, but that truth is not synonymous with its being 'artistically significant'. It is in the difference between these two definitions where great art truly thrives.",positive
25445,"I saw this independent film when it was in Philadelphia and it was a pleasant surprise. I left the theater with a smile on my face. One of the things that made it so funny was that it was based on a true story -hilarious! It has some great character actors in it too. Mindy Sterling is in it and is very good. I loved her in Austin Powers. Howard Hesseman is also terrific. I remember him from Head of the Class. I am tired of all the dark edgy movies that keep getting made. This is fun and light, and I can watch it with my family and not be embarrassed. I keep checking to see when it will come out on DVD. I will definitely buy it.",positive
17228,"""Pet Sematary"" succeeds on two major situations. First, it's a scary Horror movie. Those that just aren't produced in these days. Second, it's an emotional, clever movie overall. So if you are looking for chills, scares, creepiness and visually stunning settings, great acting, dialongs, and gruesome effects; this is the movie you are looking for. A classic now and truly a must see for any Horror fan. <br /><br />Probably, the best adaptation to any of King's novels. The events feel a little rushed compared with the novel, but that doesn't means that this underrated movie isn't a complete Horror/Drama accomplishment. <br /><br />Stephen King's novel is widely known for being very emotional and gruesome at the same time. The movie captures the same feeling mainly because there's a great character development and you can feel the loving relationship between it's members. Then, when everything seems to be happiness (technically happy, because the title ""Pet Sematary"" does not offers appiness!) a tragic event changes the movie's atmosphere, now it turns very dark. The movie has a sinister feeling since the opening credits, but after Gage is killed the movie becomes sad, gray, creepy. Dealing with the loss of a baby son is something that can ruin a family's entire life, and ""Pet Sematary"" proves it dramatically. <br /><br />The legend behind the pet sematary is more than a myth that no one wants to experience, but sadness and desperation lead an emotionally destroyed father to give it a shot. Sadly enough, the legend comes true and baby Gage returns from the dead. The previous encounter with the pet sematary legend turned out to be a tragedy but this time it's something much, much worse. What will happened with the lives of our All American family? Could Pascow prevent this tragedy? What is it with the surreal nightmares? <br /><br />Watch ""Pet Sematary"" to witness one of the most touching, emotional Horror movies of recent times. You won't regret. The acting is very good although I didn't dig the actor who portrayed the father. He didn't seem disturbed enough when the situations asked for his desperation. But that's just my opinion. Denise Crosby truly delivered a great performance and worked perfect as the noble, tender mother. Baby Gage was amazing even on his creepy parts. *Shivers*. Overall this is a great classic of all time and a disturbing movie that touches people's deepest fears... the loss of someone you love, the dead returning to life, and a feeling of desperation.<br /><br />Something is for sure... I don't wanna be buried, in a pet sematary!!",positive
16631,"The movie is made in a style that resembles Lock, stock and two smoking barrels, with lot's of subplots, fancy camerawork, cool music and that great tongue-in-cheek Aussie type of humor you'll find nowhere else. How this movie has escaped the European and American audience is a mystery!",positive
2100,"Well,I am a dancer so automatically I liked this film. The only thing I didn't like was they didn't have much dancing as I thought there would be. But I have to say the it was a good dance film. I think there should be more songs too. But it was a good film as i said before! My rating 9/10!",positive
20527,"This crime thriller is sort of like a film noir, though changes the context from post-war to Cold War and has something relatively decent to say about humanity. In ""Pickup on South Street"", policemen are good guys, criminals are genuine guys, and the only enemies are ""The Commies"", who are ultimately differentiated from the good-guys in that they are emotionally personable, driven by an actual care for their own worth, as shown in the constant tracked-in close-ups that speckle the movie.<br /><br />This movie revolves around characters. The personalities in this film are rather unique and detailed: Skip the pick-pocket who is able to stare down any danger, and sometimes while going through their personal possessions; Moe the informer who is just trying to save up for a spectacular funeral, but who manages to capture the hearts and respect of nearly all the other characters (and the audience); Candy, the ill-named innocent girl who only thinks she's doing government work and doesn't fully comprehend the conspiracy she's involved with; and Joey, the ex-boyfriend evil Commie baddie who is trying to hide everything from everybody and, ironically, is the worst person at doing it. Throw in a bunch of very colorful supporting characters (such as the guy with the chopsticks and the policemen) and ""Pickup on South Street"" treats you to a splendor of personalities as they hunt down the mysterious and accidentally stolen microfilm frames.<br /><br />--PolarisDiB",positive
1861,"I think this show is screamingly funny! It's not for every taste, and I'm not going to elevate or denigrate the folks that don't get it. I'm sure they're wonderful bright people that operate at a different wavelength. But if you like it, you REALLY like it. Sarah plays a self-infatuated loser named ""Sarah Silverman"" who often finds her self in Homerian predicaments (that's ""Homerian"" as in ""Homerian Simpsonian"").<br /><br />I remember Sarah Silverman from her brief gig on Saturday Night Live in the early 90's. I liked her immediately then and I go out of my way to check out anything she's done.<br /><br />This show is choke-on-your-food-and-wet-your-pants funny. Therefore I always fast before watching it and wear adult diapers. Check it out!",positive
